CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
104965543,02/14/2016,21:30:00,02/14/2016,21:50:00,02/14/2016,107,BURGLARY,223.0,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,47.0,INSIDE,RESIDENCE-HOUSE,nan,nan,1024351.0,260918.0,40.882750922,-73.854981494,"(40.882750922, -73.854981494)"
957994232,08/09/2010,00:01:00,08/09/2011,23:59:00,01/05/2016,116,SEX CRIMES,168.0,SODOMY 1,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,101.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,,,,,nan
812694816,01/23/2016,00:20:00,01/23/2016,00:36:00,01/23/2016,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BROOKLYN,75.0,INSIDE,RESIDENCE - PUBLIC HOUSING,nan,LINDEN,1016133.0,178623.0,40.65690638,-73.885091156,"(40.65690638, -73.885091156)"
132151797,03/29/2016,13:30:00,03/29/2016,14:00:00,03/30/2016,109,GRAND LARCENY,403.0,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,23.0,INSIDE,RESIDENCE - PUBLIC HOUSING,nan,nan,999694.0,229428.0,40.796397634,-73.944222739,"(40.796397634, -73.944222739)"
148689396,02/05/2016,15:01:00,02/05/2016,16:25:00,02/05/2016,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52.0,INSIDE,CHAIN STORE,nan,nan,1009690.0,257590.0,40.873671035,-73.908013649,"(40.873671035, -73.908013649)"
984178303,02/24/2016,10:40:00,02/24/2016,12:00:00,02/26/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,77.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,997102.0,184369.0,40.672725946,-73.953670266,"(40.672725946, -73.953670266)"
249978683,02/03/2016,17:15:00,02/03/2016,17:16:00,02/03/2016,107,BURGLARY,221.0,"BURGLARY,RESIDENCE,DAY",ATTEMPTED,FELONY,N.Y. POLICE DEPT,QUEENS,112.0,REAR OF,RESIDENCE-HOUSE,nan,nan,1021174.0,203546.0,40.725294614,-73.86678619199999,"(40.725294614, -73.866786192)"
919522637,02/15/2016,12:10:00,02/15/2016,12:11:00,02/15/2016,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17.0,nan,STREET,nan,nan,993063.0,216978.0,40.762234770999996,-73.968188083,"(40.762234771, -73.968188083)"
724819444,03/06/2016,20:15:00,03/06/2016,20:30:00,03/06/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,71.0,INSIDE,RESIDENCE - APT. HOUSE,nan,nan,1002882.0,181672.0,40.665313006,-73.932840953,"(40.665313006, -73.932840953)"
981684335,02/11/2016,19:15:00,02/11/2016,20:00:00,02/11/2016,109,GRAND LARCENY,421.0,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105.0,FRONT OF,RESTAURANT/DINER,nan,nan,1056376.0,170904.0,40.63548314,-73.740133534,"(40.63548314, -73.740133534)"
357458633,01/22/2016,12:00:00,01/22/2016,22:30:00,01/23/2016,341,PETIT LARCENY,343.0,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9.0,FRONT OF,STREET,nan,nan,985926.0,203488.0,40.725212318000004,-73.993954746,"(40.725212318, -73.993954746)"
757558106,03/11/2016,03:30:00,03/11/2016,03:45:00,03/11/2016,347,INTOXICATED & IMPAIRED DRIVING,905.0,"INTOXICATED DRIVING,ALCOHOL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,69.0,nan,STREET,nan,nan,1006683.0,171534.0,40.637477595,-73.919173678,"(40.637477595, -73.919173678)"
992503979,02/13/2016,18:30:00,02/13/2016,18:45:00,02/13/2016,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,69.0,INSIDE,PRIVATE/PAROCHIAL SCHOOL,nan,nan,1012774.0,171525.0,40.637435371,-73.897227409,"(40.637435371, -73.897227409)"
674821699,01/17/2016,13:20:00,nan,nan,01/17/2016,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1.0,INSIDE,DEPARTMENT STORE,nan,nan,981309.0,197980.0,40.710093846999996,-74.01060963,"(40.710093847, -74.01060963)"
281949602,02/02/2016,11:15:00,02/02/2016,11:50:00,02/02/2016,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42.0,OPPOSITE OF,STREET,nan,nan,1013759.0,241114.0,40.828436659,-73.89337319100001,"(40.828436659, -73.893373191)"
